Dataset,Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,T(α=0.5)
Taiwan,RF,None,SHAP,0.7789398354928819,0.5917674319862831,0.4082325680137169,0.8580086580086581,0.954804605078495,0.7403486103669566,,0.798084242190488
Taiwan,RF,None,Banzhaf,0.7789398354928819,0.35777301813573287,0.6422269818642672,0.14805194805194802,0.4491480372514249,0.41314232238921333,,0.526060571435031
Taiwan,RF,None,Myerson,0.7789398354928819,0.4775934816277315,0.5224065183722685,0.432034632034632,0.8285342671208823,0.5943251391759276,,0.6766873066507304
Taiwan,RF,None,Owen-Domain,0.7789398354928819,0.24860676494404269,0.7513932350559573,1.0,0.9560853945680291,0.9024928765413288,2.602353628822106,0.9328832362724806
Taiwan,RF,None,Owen-Data,0.7789398354928819,0.39027726045858807,0.609722739541412,1.0,0.8716825154013538,0.8271350849809218,9.699642435256955,0.8702343696905497
Taiwan,RF,None,Owen-Model,0.7789398354928819,0.40409040605123503,0.595909593948765,0.29004329004329005,0.8008290855773444,0.5622606565231331,2.7600534363806752,0.6500304281231358
Taiwan,RF,None,Owen-Domain-Myerson,0.7789398354928819,0.11652145711622007,0.8834785428837799,1.0,0.9688829761163008,0.9507871730000269,2.602353628822106,0.9730328063814173
Taiwan,RF,None,Owen-Data-Myerson,0.7789398354928819,0.46112038164410707,0.5388796183558929,1.0,0.8752815809534183,0.8047203997697704,9.699642435256955,0.8515998715956348
Taiwan,RF,None,Owen-Model-Myerson,0.7789398354928819,0.28050647372755727,0.7194935262724427,0.29004329004329005,0.8520166764619953,0.6205178309259094,2.7600534363806752,0.6984626588324736
Taiwan,RF,SMOTE,SHAP,0.7753783931508668,0.5912638438138863,0.4087361561861137,0.8580086580086581,0.9741777244111093,0.7469741795352937,,0.7334236241310554
Taiwan,RF,SMOTE,Banzhaf,0.7753783931508668,0.34029287229189603,0.6597071277081039,0.361038961038961,0.4507160535722783,0.4904873807731144,,0.5201927570508054
Taiwan,RF,SMOTE,Myerson,0.7753783931508668,0.5945931049192096,0.4054068950807904,0.29004329004329005,0.7648106387473049,0.4867536079571284,,0.5170886767672366
Taiwan,RF,SMOTE,Owen-Domain,0.7753783931508668,0.3501686321401274,0.6498313678598726,0.29004329004329005,0.8534542445102833,0.597776300804482,2.602353628822106,0.6093876378665019
Taiwan,RF,SMOTE,Owen-Data,0.7753783931508668,0.49404209720943537,0.5059579027905646,1.0,0.8398056406695192,0.7819211811533613,9.699642435256955,0.7624768911718474
Taiwan,RF,SMOTE,Owen-Model,0.7753783931508668,0.3434745530471989,0.656525446952801,0.07705627705627706,0.8864658982954662,0.5400158741015146,3.066838057282529,0.5613683794553939
Taiwan,RF,SMOTE,Owen-Domain-Myerson,0.7753783931508668,0.3620630640067988,0.6379369359932012,1.0,0.8862639963896791,0.8414003107942933,2.602353628822106,0.8119249970693923
Taiwan,RF,SMOTE,Owen-Data-Myerson,0.7753783931508668,0.5018645306278221,0.4981354693721779,1.0,0.8413410611060955,0.7798255101594245,9.699642435256955,0.7607346504588413
Taiwan,RF,SMOTE,Owen-Model-Myerson,0.7753783931508668,0.3663942226844011,0.633605777315599,0.14805194805194805,0.8713177490300709,0.5509918247992059,3.066838057282529,0.5704932603287711
Taiwan,RF,SMOTETomek,SHAP,0.7747646589566243,0.5956192056262217,0.4043807943737783,0.8580086580086581,0.9712567957124353,0.7445487493649572,,0.7193152287205516
Taiwan,RF,SMOTETomek,Banzhaf,0.7747646589566243,0.3238911945933766,0.6761088054066233,0.5030303030303029,0.5546281485068233,0.5779224189812499,,0.5807900606511327
Taiwan,RF,SMOTETomek,Myerson,0.7747646589566243,0.5610755476217454,0.4389244523782546,0.29004329004329005,0.7674654274958734,0.4988110566391393,,0.5150206547030729
Taiwan,RF,SMOTETomek,Owen-Domain,0.7747646589566243,0.3224908651817553,0.6775091348182447,0.29004329004329005,0.8494274401788805,0.6056599550134717,2.602353628822106,0.603849722541585
Taiwan,RF,SMOTETomek,Owen-Data,0.7747646589566243,0.47711541805475866,0.5228845819452413,1.0,0.8384631595506482,0.7871159138319631,9.699642435256955,0.7547035349891458
Taiwan,RF,SMOTETomek,Owen-Model,0.7747646589566243,0.3680883535200487,0.6319116464799512,0.07705627705627706,0.763043898004375,0.49067060718020106,3.0667314620997757,0.5082530740520241
Taiwan,RF,SMOTETomek,Owen-Domain-Myerson,0.7747646589566243,0.33887740652325854,0.6611225934767415,1.0,0.8968567501597993,0.8526597812121802,2.602353628822106,0.8091935740115264
